Id	Pathway	Gene
hsa00040	Pentose and glucuronate interconversions	231
hsa00040	Pentose and glucuronate interconversions	27294
hsa00040	Pentose and glucuronate interconversions	2990
hsa00040	Pentose and glucuronate interconversions	51084
hsa00040	Pentose and glucuronate interconversions	51181
hsa00040	Pentose and glucuronate interconversions	54490
hsa00040	Pentose and glucuronate interconversions	54575
hsa00040	Pentose and glucuronate interconversions	54576
hsa00040	Pentose and glucuronate interconversions	54577
hsa00040	Pentose and glucuronate interconversions	54578
hsa00040	Pentose and glucuronate interconversions	54579
hsa00040	Pentose and glucuronate interconversions	54600
hsa00040	Pentose and glucuronate interconversions	54657
hsa00040	Pentose and glucuronate interconversions	54658
hsa00040	Pentose and glucuronate interconversions	54659
hsa00040	Pentose and glucuronate interconversions	55277
hsa00040	Pentose and glucuronate interconversions	57016
hsa00040	Pentose and glucuronate interconversions	574537
hsa00040	Pentose and glucuronate interconversions	6120
hsa00040	Pentose and glucuronate interconversions	6652
hsa00040	Pentose and glucuronate interconversions	729020
hsa00040	Pentose and glucuronate interconversions	729920
hsa00040	Pentose and glucuronate interconversions	7358
hsa00040	Pentose and glucuronate interconversions	7360
hsa00040	Pentose and glucuronate interconversions	7363
hsa00040	Pentose and glucuronate interconversions	7364
hsa00040	Pentose and glucuronate interconversions	7365
hsa00040	Pentose and glucuronate interconversions	7366
hsa00040	Pentose and glucuronate interconversions	7367
hsa00040	Pentose and glucuronate interconversions	79799
hsa00040	Pentose and glucuronate interconversions	9365
hsa00040	Pentose and glucuronate interconversions	9942
hsa00051	Fructose and mannose metabolism	197258
hsa00051	Fructose and mannose metabolism	2203
hsa00051	Fructose and mannose metabolism	226
hsa00051	Fructose and mannose metabolism	229
hsa00051	Fructose and mannose metabolism	230
hsa00051	Fructose and mannose metabolism	231
hsa00051	Fructose and mannose metabolism	26007
hsa00051	Fructose and mannose metabolism	2762
hsa00051	Fructose and mannose metabolism	29925
hsa00051	Fructose and mannose metabolism	29926
hsa00051	Fructose and mannose metabolism	3098
hsa00051	Fructose and mannose metabolism	3099
hsa00051	Fructose and mannose metabolism	3101
hsa00051	Fructose and mannose metabolism	3795
hsa00051	Fructose and mannose metabolism	4351
hsa00051	Fructose and mannose metabolism	5207
hsa00051	Fructose and mannose metabolism	5208
hsa00051	Fructose and mannose metabolism	5209
hsa00051	Fructose and mannose metabolism	5210
hsa00051	Fructose and mannose metabolism	5211
hsa00051	Fructose and mannose metabolism	5213
hsa00051	Fructose and mannose metabolism	5214
hsa00051	Fructose and mannose metabolism	5372
hsa00051	Fructose and mannose metabolism	5373
hsa00051	Fructose and mannose metabolism	55556
